id,data_publicacao,numero_edicao,tipo_ato,titulo,secretaria,texto,url_original,rotulo
DOA-2026-001,2026-05-14,2732,Decretos,Decreto 8742 – Crédito Adicional Suplementar,Secretaria de Finanças,"DECRETO Nº 8.742, DE 14 DE MAIO DE 2026.
Abre Crédito Adicional Suplementar no valor de R$ 224.000,00 (duzentos e vinte e quatro mil reais) ao Orçamento Programa do Município de Avaré.
O PREFEITO MUNICIPAL DE AVARÉ, no uso de suas atribuições legais,
DECRETA:
Art. 1º Fica aberto Crédito Adicional Suplementar ao Orçamento Programa do Município de Avaré para o exercício financeiro de 2026, no valor de R$ 224.000,00 (duzentos e vinte e quatro mil reais).
Art. 2º O crédito aberto no artigo anterior será coberto com recursos provenientes do excesso de arrecadação da Secretaria de Finanças.
Art. 3º Este Decreto entra em vigor na data de sua publicação.",https://www.dosp.com.br/exibe_do.php?i=ODE3ODM2,decreto
DOA-2026-002,2026-05-04,2724,Decretos,Decreto 1109 – Regulamenta Serviço de Transporte,Secretaria de Transporte,"DECRETO Nº 1.109, DE 04 DE MAIO DE 2026.
Regulamente o serviço de transporte público municipal de Avaré, nos termos da Lei Municipal nº 4.180/2025.
O PREFEITO MUNICIPAL DE AVARÉ,
DECRETA:
Art. 1º Fica regulamentado o serviço de transporte coletivo municipal, conforme dispõe este decreto.
Art. 2º A Secretaria Municipal de Transporte ficará responsável pela fiscalização das linhas municipais.
Art. 3º As empresas concessionárias deverão apresentar plano operacional no prazo de 30 (trinta) dias.
Art. 4º Este Decreto entra em vigor na data de sua publicação.",https://www.dosp.com.br/exibe_do.php?i=ODEyNzQ5,decreto
DOA-2026-003,2026-01-30,2649,Decretos,Decreto 990 – Estabelece Ponto Facultativo,Secretaria de Administração,"DECRETO Nº 990, DE 30 DE JANEIRO DE 2026.
Estabelece ponto facultativo no âmbito da Administração Pública Municipal.
O PREFEITO MUNICIPAL DE AVARÉ,
DECRETA:
Art. 1º Fica estabelecido ponto facultativo no dia 31 de janeiro de 2026, em virtude do Aniversário da cidade.
Art. 2º Os serviços essenciais permanecerão em funcionamento normal.
Art. 3º Este Decreto entra em vigor na data de sua publicação.",https://www.dosp.com.br/exibe_do.php?i=NzcwODAx,decreto
DOA-2025-004,2025-12-01,2598,Decretos,Decreto 868 – Dispõe sobre uso e ocupação do solo,Secretaria de Obras,"DECRETO Nº 868, DE 01 DE DEZEMBRO DE 2025.
Dispõe sobre normas de uso e ocupação do solo urbano no Município de Avaré.
O PREFEITO MUNICIPAL DE AVARÉ,
DECRETA:
Art. 1º Ficam estabelecidas as diretrizes de zoneamento urbano conforme o Plano Diretor vigente.
Art. 2º É vedada a construção em área de preservação permanente.
Art. 3º A Secretaria de Obras e Urbanismo fiscalizará o cumprimento deste decreto.",https://www.dosp.com.br/exibe_do.php?i=NzQ1MTIy,decreto
DOA-2025-005,2025-10-31,2573,Decretos,Decreto 838 – Regulamenta o Programa Saúde na Escola,Secretaria de Saúde,"DECRETO Nº 838, DE 31 DE OUTUBRO DE 2025.
Regulamente o Programa Saúde na Escola no âmbito do Município de Avaré.
O PREFEITO MUNICIPAL DE AVARÉ,
DECRETA:
Art. 1º Fica regulamentado o Programa Saúde na Escola em parceria com a Secretaria de Educação.
Art. 2º O programa contemplará ações de prevenção, promoção e recuperação da saúde dos estudantes matriculados na rede municipal de ensino.
Art. 3º A coordenação do programa ficará a cargo da Secretaria Municipal de Saúde.",https://www.dosp.com.br/exibe_do.php?i=NzMxODM3,decreto
DOA-2025-006,2025-04-02,2356,Decretos,Decreto 580 – Institui a Semana Municipal do Meio Ambiente,Secretaria de Meio Ambiente,"DECRETO Nº 580, DE 02 DE ABRIL DE 2025.
Institui a Semana Municipal do Meio Ambiente e dá outras providências.
O PREFEITO MUNICIPAL DE AVARÉ,
DECRETA:
Art. 1º Fica instituída a Semana Municipal do Meio Ambiente, a ser realizada anualmente na primeira semana do mês de junho.
Art. 2º A Secretaria de Meio Ambiente coordenará as atividades durante a Semana.
Art. 3º Escolas, entidades e empresas poderão participar com atividades de educação ambiental.",https://www.dosp.com.br/exibe_do.php?i=NjMyOTU1,decreto
DOA-2026-007,2026-05-14,2732,Portarias,Portaria 1113 – Enquadramento de Profissionais da Educação,Secretaria de Educação,"PORTARIA Nº 1.113, DE 14 DE MAIO DE 2026.
Dispõe sobre o enquadramento de Profissionais do Magistério no Plano de Cargo, Carreira e Remuneração do Município de Avaré.
A SECRETÁRIA MUNICIPAL DE EDUCAÇÃO, no uso de suas atribuições,
RESOLVE:
Art. 1º Ficam enquadrados na Classe III do Plano de Cargo, Carreira e Remuneração os seguintes profissionais do magistério: Maria Aparecida da Silva, Profª – matrícula 4521.
Art. 2º O enquadramento retroage a 1º de abril de 2026.
Art. 3º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjYyMjIxMw==,portaria
DOA-2026-008,2026-05-04,2724,Portarias,Portaria 1109 – Autoriza afastamento para capacitação,Secretaria de Administração,"PORTARIA Nº 1.109, DE 04 DE MAIO DE 2026.
Autoriza afastamento de servidor para participação em capacitação profissional.
O SECRETÁRIO MUNICIPAL DE ADMINISTRAÇÃO,
CONSIDERANDO a necessidade de qualificação do quadro de servidores públicos;
RESOLVE:
Art. 1º Fica autorizado o afastamento do servidor João Carlos Ferreira, matrícula 3312, Analista Administrativo, para participar do Curso de Gestão Pública, no período de 05 a 07 de maio de 2026.
Art. 2º As despesas correrão por conta das dotações orçamentárias próprias.
Art. 3º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjYwNTAzNQ==,portaria
DOA-2025-009,2025-10-30,2572,Portarias,Portaria 836 – Designa fiscal de contrato,Secretaria de Administração,"PORTARIA Nº 836, DE 30 DE OUTUBRO DE 2025.
Designa servidor para exercer a função de Fiscal do Contrato.
O SECRETÁRIO MUNICIPAL DE ADMINISTRAÇÃO,
CONSIDERANDO o disposto no art. 67 da Lei Federal nº 8.666/93;
RESOLVE:
Art. 1º Fica designado o servidor Paulo Roberto Lima, matrícula 2897, para exercer a função de Fiscal do Contrato nº 087/2025, firmado com a empresa Serviços Gerais Ltda.
Art. 2º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjM1OTYyNg==,portaria
DOA-2025-010,2025-09-12,2527,Portarias,Portaria 788 – Altera composição de Comissão de Licitação,Secretaria de Administração,"PORTARIA Nº 788, DE 12 DE SETEMBRO DE 2025.
Altera a composição da Comissão Permanente de Licitação do Município de Avaré.
O SECRETÁRIO MUNICIPAL DE ADMINISTRAÇÃO,
CONSIDERANDO a necessidade de atualização dos membros da Comissão;
RESOLVE:
Art. 1º Ficam designados para compor a Comissão Permanente de Licitação: Presidente: Ana Paula Rodrigues; Membros: Carlos Eduardo Mendes e Fernanda Souza.
Art. 2º Os membros designados respondem solidariamente pelos atos praticados pela comissão.
Art. 3º Esta Portaria entra em vigor na data de sua publicação.",https://www.dosp.com.br/leituratexto?p=MjI5Nzg0OA==,portaria
